Postcode,Latitude,Longitude,Easting,Northing,Grid reference,Active?,Area,Average_BusinessRate,Business_Count
SE280JZ,51.499238,0.094772,545500,179891,TQ454798,Yes,West Thamesmead,954.5454545,1
SE288BY,51.505806,0.115566,546922,180663,TQ469806,Yes,Thamesmead Moorings,1275,1
SE280BD,51.492546,0.092277,545348,179142,TQ453791,No,West Thamesmead,2100,1
SE288DU,51.506748,0.11473,546861,180766,TQ468807,Yes,Thamesmead Moorings,2700,1
SE288BB,51.504042,0.120167,547247,180476,TQ472804,Yes,Thamesmead Moorings,5700,1
SE288AL,51.502285,0.117823,547090,180276,TQ470802,Yes,Thamesmead Moorings,8400,1
SE288DL,51.506481,0.115539,546918,180738,TQ469807,Yes,Thamesmead Moorings,10887.5,2
SE288LJ,51.505908,0.117415,547050,180678,TQ470806,Yes,Thamesmead Moorings,11500,1
SE288BQ,51.503382,0.116347,546984,180395,TQ469803,Yes,Thamesmead Moorings,11750,1
SE280AQ,51.494366,0.095126,545540,179350,TQ455793,Yes,West Thamesmead,14020,20
SE288BG,51.50385,0.116815,547015,180448,TQ470804,Yes,Thamesmead Moorings,16750,5
SE288BD,51.504361,0.117472,547059,180506,TQ470805,Yes,Thamesmead Moorings,20500,2
SE288AA,51.503259,0.117752,547082,180384,TQ470803,Yes,Thamesmead Moorings,20625,2
SE280AG,51.493855,0.09307,545399,179289,TQ453792,Yes,West Thamesmead,24979.54546,10
SE288DH,51.505821,0.114284,546833,180662,TQ468806,Yes,Thamesmead Moorings,31250,1
SE288EZ,51.501615,0.113614,546800,180193,TQ468801,Yes,Thamesmead Moorings,34500,1
SE280JS,51.499248,0.091676,545285,179886,TQ452798,Yes,West Thamesmead,38200,1
SE288HL,51.504687,0.116277,546975,180540,TQ469805,No,Thamesmead Moorings,41250,1
SE288GB,51.500963,0.113338,546783,180120,TQ467801,Yes,Thamesmead Moorings,45000,1
SE280GU,51.497119,0.102123,546017,179670,TQ460796,Yes,West Thamesmead,47275,2
SE288AR,51.502952,0.115822,546949,180346,TQ469803,Yes,Thamesmead Moorings,54250,2
SE280AU,51.494005,0.096217,545617,179312,TQ456793,Yes,West Thamesmead,64296.875,16
SE280AB,51.495862,0.098507,545770,179523,TQ457795,Yes,West Thamesmead,66355,10
SE288LW,51.508975,0.117888,547073,181020,TQ470810,Yes,Thamesmead Moorings,83500,1
SE288AS,51.505195,0.111098,546614,180586,TQ466805,Yes,Thamesmead Moorings,88000,1
SE288DT,51.508015,0.113247,546754,180904,TQ467809,Yes,Thamesmead Moorings,92000,1
SE288BE,51.505665,0.109463,546499,180635,TQ464806,Yes,Thamesmead Moorings,96500,1
SE280AW,51.498488,0.10445,546174,179827,TQ461798,Yes,West Thamesmead,99000,1
SE288BJ,51.503928,0.115522,546925,180454,TQ469804,Yes,Thamesmead Moorings,117250,2
SE280AT,51.49602,0.10275,546064,179549,TQ460795,Yes,West Thamesmead,158500,2
SE280JN,51.500283,0.094619,545486,180007,TQ454800,Yes,West Thamesmead,191000,1
SE288RE,51.507782,0.10923,546476,180870,TQ464808,Yes,Thamesmead Moorings,262500,1
SE288RF,51.501236,0.105167,546215,180134,TQ462801,Yes,Thamesmead Moorings,380000,1
SE288AT,51.503205,0.10873,546456,180360,TQ464803,Yes,Thamesmead Moorings,565000,1
SE280EY,51.496496,0.090138,545187,179577,TQ451795,Yes,West Thamesmead,717000,2
SE280EB,51.496846,0.092704,545364,179621,TQ453796,Yes,West Thamesmead,1178650,2
SE280AA,51.492037,0.087067,544988,179075,TQ449790,No,West Thamesmead,1450000,1
SE280NZ,51.49773,0.097123,545668,179728,TQ456797,Yes,West Thamesmead,1600000,1
SE280FD,51.49828,0.100577,545906,179796,TQ459797,Yes,West Thamesmead,2240000,1
SE280BQ,51.492739,0.093119,545406,179165,TQ454791,Yes,West Thamesmead,20074.418604651164,43
SE288RD,51.506662,0.104076,546122,180735,TQ461807,Yes,Thamesmead Moorings,225925.75755399998,15
SE280AX,51.494171,0.098011,545741,179334,TQ457793,Yes,West Thamesmead,22966.666666666668,12
SE280AF,51.497618,0.10585,546274,179733,TQ462797,Yes,West Thamesmead,232666.66666666666,3
SE288RA,51.506817,0.106922,546319,180758,TQ463807,Yes,Thamesmead Moorings,23509.166666666668,30
SE280FS,51.493364,0.095396,545562,179239,TQ455792,Yes,West Thamesmead,29510.50413227273,22
SE280NY,51.498473,0.090299,545192,179797,TQ451797,Yes,West Thamesmead,34954.444444444445,9
